state,action,
Alabama,0,
Alaska,0,
Arizona,1,
Arkansas,0,
California,1,
Colorado,0,
Connecticut,1,
Delaware,0,
District of Columbia,0,
Florida,0,
Georgia,0,
Hawaii,1,
Idaho,0,
Illinois,0,
Indiana,1,
Iowa,0,
Kansas,0,
Kentucky,0,
Louisiana,0,
Maine,0,
Maryland,1,
Massachusetts,1,
Michigan,1,
Minnesota,1,
Mississippi,0,
Missouri,0,
Montana,0,
Nebraska,0,
Nevada,1,
New Hampshire,1,
New Jersey,1,
New Mexico,0,
New York,1,
North Carolina,0,
North Dakota,1,
Ohio,0,
Oklahoma,0,
Oregon,1,
Pennsylvania,0,
Rhode Island,0,
South Carolina,0,
South Dakota,1,
Tennessee,0,
Texas,0,
Utah,0,
Vermont,1,
Virginia,0,
Washington,0,
West Virginia,0,
Wisconsin,0,
Wyoming,0,
